tubelet_id,video_path,video_id,track_id,start_frame,end_frame,start_time_sec,end_time_sec,clip_span_sec,clip_duration_sec,mean_conf,min_conf,mean_bbox_area_ratio,mean_iou,max_center_jump_ratio,split,deep_knn_score_k1,deep_knn_score_k3,deep_knn_score_k5,deep_knn_score_k10,deep_knn_score_k20,deep_knn_score_k1_gauss_s1_0,deep_knn_score_k1_gauss_s2_0,deep_knn_score_k1_gauss_s3_0,deep_knn_score_k3_gauss_s1_0,deep_knn_score_k3_gauss_s2_0,deep_knn_score_k3_gauss_s3_0,deep_knn_score_k5_gauss_s1_0,deep_knn_score_k5_gauss_s2_0,deep_knn_score_k5_gauss_s3_0,deep_knn_score_k10_gauss_s1_0,deep_knn_score_k10_gauss_s2_0,deep_knn_score_k10_gauss_s3_0,deep_knn_score_k20_gauss_s1_0,deep_knn_score_k20_gauss_s2_0,deep_knn_score_k20_gauss_s3_0
homography_macro__20260317_101644_tp00048.mp4__track1329__t43056_43146__00009581,D:\Embeddings_Distribution\raw_videos\20260317_101644_tp00048.mp4,20260317_101644_tp00048.mp4,1329,43056,43146,3013.907089749132,3020.207062762822,6.299973013689851,6.299973013689851,0.525339649990201,0.4627615809440613,0.0039842624833757,0.9720698556908648,0.0165641219646538,normal_test,0.1373339295387268,0.13860885798931122,0.14070139825344086,0.14258091151714325,0.14517273008823395,0.13659707415600467,0.13153326157281975,0.12379115888567614,0.13792604478580098,0.13282978429291187,0.1252712151937303,0.1401992340865853,0.13508393375846145,0.12743237827332787,0.14229708796224866,0.13761632461392467,0.13034948455195533,0.14475965630155355,0.14042554148740655,0.13380832880766372
homography_macro__20260315_130536_tp00036.mp4__track6633__t40224_40314__00003539,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6633,40224,40314,2815.6215651787697,2821.921434432601,6.2998692538308205,6.2998692538308205,0.7294931672513485,0.6819927096366882,0.0097645417286817,0.9597484020046138,0.0420728148806209,normal_test,0.13430717587471008,0.13872162997722626,0.1402188092470169,0.14266721904277802,0.14608843624591827,0.11994484058368915,0.12207441070719563,0.12139413748361672,0.1261434148009048,0.12794507573428662,0.12692423035922806,0.12809304797472856,0.13018646016834687,0.12936322313833393,0.13133403205070882,0.13388594538164741,0.13352419378511826,0.13596441207571724,0.13892220466107386,0.13896116130926542
homography_macro__20260315_130536_tp00036.mp4__track6476__t39216_39306__00003478,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6476,39216,39306,2745.063029535865,2751.362898789696,6.2998692538308205,6.2998692538308205,0.8700766339898109,0.837408721446991,0.0482785118675011,0.9504853548221888,0.0399061901465988,normal_test,0.13233765959739685,0.1368134319782257,0.1399349421262741,0.14387096464633942,0.15064619481563568,0.13062748940848287,0.12382996810856842,0.12361098499982184,0.1348378788090313,0.12876437928303086,0.12889937888750114,0.1377244795649305,0.13164336152959016,0.13191708798313395,0.14234631860656874,0.13747163805710327,0.1378692844037369,0.14862166257219772,0.14492090041128539,0.14526445492142415
homography_macro__20260315_130536_tp00036.mp4__track563__t4080_4170__00002509,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,563,4080,4170,285.5940728403287,291.89394209415946,6.299869253830764,6.299869253830764,0.7581229247152805,0.5372259616851807,0.0100592112529591,0.954721535331856,0.0186483652738049,normal_test,0.13511675596237183,0.13804543018341064,0.13992084562778473,0.14189501106739044,0.1454649269580841,0.10267274028782239,0.08712608990656195,0.08303814576318301,0.10479908606485867,0.08903392676192562,0.08494968715309692,0.1063228605203988,0.09077141206012025,0.08691584962878465,0.10832244250646483,0.09336217174516764,0.08998415344140484,0.11127476992500454,0.09687895161056365,0.09408587111383046
homography_macro__20260315_130536_tp00036.mp4__track6476__t39264_39354__00003482,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6476,39264,39354,2748.422959804575,2754.7228290584058,6.2998692538308205,6.2998692538308205,0.872239712625742,0.837408721446991,0.0424103152104894,0.949920968119311,0.0436856243290088,normal_test,0.1344929039478302,0.13669238984584808,0.13987961411476135,0.14451447129249573,0.15004171431064606,0.12472436706886193,0.1259482580178911,0.12602492532864212,0.12665745995198055,0.12792737058255196,0.1284212786922581,0.1290363108171788,0.13004222573574878,0.13058563342047114,0.13309408803692574,0.13434387130638045,0.1351383943552148,0.13800644498584272,0.1395516188839194,0.1407201638421067
homography_macro__20260315_130536_tp00036.mp4__track4393__t26304_26394__00003289,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,4393,26304,26394,1841.2417872529425,1847.5416565067733,6.2998692538308205,6.2998692538308205,0.8267315253615379,0.7480355501174927,0.0544696089680386,0.8781962814258194,0.095388855162485,normal_test,0.13303327560424805,0.13683603703975677,0.13966047763824463,0.14922454953193665,0.15823394060134888,0.12354771492178046,0.11998645259270066,0.1194533257929625,0.126980129533595,0.123305611040395,0.12265182798348861,0.12956962558763274,0.125922430190835,0.1253781886181716,0.1362927230090989,0.13185556177267407,0.13108883031412402,0.14325586068917748,0.13803467550446427,0.13713104383916289
homography_macro__20260315_130536_tp00036.mp4__track6476__t39120_39210__00003473,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6476,39120,39210,2738.343168998445,2744.6430382522763,6.2998692538308205,6.2998692538308205,0.7957579419016838,0.5433536171913147,0.0397349259846364,0.8052756677264928,0.2445181013480523,normal_test,0.12205473333597183,0.13496865332126617,0.13954386115074158,0.14507602155208588,0.14982402324676514,0.13305824850366463,0.13238255274171734,0.12711463166327336,0.14216606702520984,0.14304211452236043,0.13918023920980427,0.14568678518325678,0.14715657720395234,0.14387912730374922,0.15067285858782603,0.1526817795797451,0.14997861641249308,0.15534336542235916,0.15793170725170247,0.1557815523361778
homography_macro__20260317_101644_tp00048.mp4__track1329__t43008_43098__00009580,D:\Embeddings_Distribution\raw_videos\20260317_101644_tp00048.mp4,20260317_101644_tp00048.mp4,1329,43008,43098,3010.547104141831,3016.8470771555208,6.299973013689851,6.299973013689851,0.5214684177190065,0.4627615809440613,0.0038790300988265,0.9716242545533174,0.018902746939917,normal_test,0.13514243066310883,0.13679607212543488,0.13934001326560974,0.1416338086128235,0.14391283690929413,0.1344040657409068,0.12450089173314265,0.11574271981079456,0.13561182899947516,0.12585127815783156,0.11742100072318315,0.13808470204069537,0.12808571432418195,0.11955911875830849,0.1406491407328241,0.13115687772239185,0.12294165665416783,0.14307208653392972,0.13445118024100208,0.12700973686976733
homography_macro__20260316_124453_tp00043.mp4__track5701__t33312_33402__00007251,D:\Embeddings_Distribution\raw_videos\20260316_124453_tp00043.mp4,20260316_124453_tp00043.mp4,5701,33312,33402,2331.8299197216784,2338.1298924874973,6.299972765818893,6.299972765818893,0.6681949123740196,0.2923080623149872,0.0045566470773937,0.8257692191791357,0.0579806610378391,normal_test,0.13015851378440857,0.13194133341312408,0.1387653797864914,0.14816370606422424,0.15699148178100586,0.10758776522497014,0.09014081200263029,0.0843417333735616,0.11002301837970976,0.09399111353859665,0.08860821339242575,0.11487468753644528,0.09836309176689734,0.09273519596618642,0.12256363661734429,0.10553194806353511,0.0993413845953651,0.13055281380303443,0.11291329734416441,0.10613736964605777
homography_macro__20260315_130536_tp00036.mp4__track6485__t39072_39162__00003468,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6485,39072,39162,2734.983238729736,2741.2831079835664,6.2998692538308205,6.2998692538308205,0.8191578201949596,0.6771810054779053,0.0324563081401365,0.8340126664826104,0.1416454589705875,normal_test,0.12109024822711945,0.13145403563976288,0.13815192878246307,0.14453846216201782,0.15011519193649292,0.1080677510337623,0.1046834376545824,0.1005102307091437,0.12268981403771816,0.11808132898662804,0.1129101194299958,0.12931007448347454,0.12401109334502669,0.11838891659184778,0.13635583972373555,0.13171646415192811,0.12608628274192252,0.14306002806026646,0.13932645127552637,0.13385468854863822
