2026/06/18 14:59:43.030, NVIDIA GeForce RTX 5090 Laptop GPU, 92 %, 14558 MiB, 24463 MiB, 50, 48.58 W
===== GPU BOARD 2026-06-18 14:59:45 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:45.085, NVIDIA GeForce RTX 5090 Laptop GPU, 92 %, 14558 MiB, 24463 MiB, 50, 44.43 W
===== GPU BOARD 2026-06-18 14:59:47 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:47.148, NVIDIA GeForce RTX 5090 Laptop GPU, 92 %, 14558 MiB, 24463 MiB, 50, 57.22 W
===== GPU BOARD 2026-06-18 14:59:49 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:49.208, NVIDIA GeForce RTX 5090 Laptop GPU, 91 %, 14558 MiB, 24463 MiB, 51, 58.77 W
===== GPU BOARD 2026-06-18 14:59:51 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:51.266, NVIDIA GeForce RTX 5090 Laptop GPU, 92 %, 14558 MiB, 24463 MiB, 51, 68.86 W
===== GPU BOARD 2026-06-18 14:59:53 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:53.328, NVIDIA GeForce RTX 5090 Laptop GPU, 90 %, 14558 MiB, 24463 MiB, 51, 67.71 W
===== GPU BOARD 2026-06-18 14:59:55 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:55.396, NVIDIA GeForce RTX 5090 Laptop GPU, 74 %, 14558 MiB, 24463 MiB, 52, 70.45 W
===== GPU BOARD 2026-06-18 14:59:57 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:57.450, NVIDIA GeForce RTX 5090 Laptop GPU, 97 %, 14558 MiB, 24463 MiB, 52, 61.33 W
===== GPU BOARD 2026-06-18 14:59:59 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:59.512, NVIDIA GeForce RTX 5090 Laptop GPU, 95 %, 14558 MiB, 24463 MiB, 53, 65.79 W
===== GPU BOARD 2026-06-18 15:00:01 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:01.571, NVIDIA GeForce RTX 5090 Laptop GPU, 92 %, 14558 MiB, 24463 MiB, 53, 62.41 W
===== GPU BOARD 2026-06-18 15:00:03 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:03.642, NVIDIA GeForce RTX 5090 Laptop GPU, 93 %, 14558 MiB, 24463 MiB, 53, 60.97 W
===== GPU BOARD 2026-06-18 15:00:05 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:05.704, NVIDIA GeForce RTX 5090 Laptop GPU, 94 %, 14558 MiB, 24463 MiB, 53, 63.34 W
===== GPU BOARD 2026-06-18 15:00:07 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:07.767, NVIDIA GeForce RTX 5090 Laptop GPU, 93 %, 14558 MiB, 24463 MiB, 54, 63.97 W
===== GPU BOARD 2026-06-18 15:00:09 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 15:00:09.828, NVIDIA GeForce RTX 5090 Laptop GPU, 94 %, 14558 MiB, 24463 MiB, 54, 61.48 W
