components,converged,n_iter,bic_train,aic_train,threshold_percentile,threshold,train_score_mean,train_score_p95,train_score_p995,calib_score_mean,calib_score_p95,calib_score_p995,normal_test_score_mean,normal_test_score_p95,normal_test_score_p995,calib_false_alarm_tubelets_before_persistence,calib_false_alarm_rate_before_persistence,calib_false_alarm_tubelets_after_smoothing,calib_false_alarm_rate_after_smoothing,calib_false_alarm_tubelets_after_persistence,calib_false_alarm_rate_after_persistence,calib_false_alarm_events_after_persistence,normal_test_tubelets,normal_test_videos,normal_test_tracks,normal_test_false_alarm_tubelets_before_persistence,normal_test_false_alarm_rate_before_persistence,normal_test_false_alarm_tubelets_after_smoothing,normal_test_false_alarm_rate_after_smoothing,normal_test_false_alarm_tubelets_after_persistence,normal_test_false_alarm_rate_after_persistence,normal_test_false_alarm_events_after_persistence,verdict
2,True,12,339232.24585035467,331110.11297544785,99.0,67.89945110668039,6.142054136816479,34.15322977375656,125.47561796024618,8.194770369003994,36.779829095261704,87.32214920098335,9.306185005321785,39.30406466887344,142.9866417501326,92,0.010104338275672708,40,0.004393190554640308,20,0.002196595277320154,7,11956,7,527,194,0.016226162596186016,154,0.01288056206088993,109,0.009116761458681833,30,needs_tuning_or_visual_review
3,True,26,44638.65425833722,32451.356998007803,99.0,53.9112027116559,0.5500943716270631,34.19030629924326,85.92404404928699,2.6308547107242592,35.60700795941087,65.52721803771243,3.126679405824751,37.37896269512345,96.15639218912793,92,0.010104338275672708,42,0.004612850082372323,19,0.002086765513454146,8,11956,7,527,206,0.01722984275677484,130,0.010873201739712278,88,0.007360321177651389,28,needs_tuning_or_visual_review
5,True,35,-228786.4535360504,-249104.07956722498,99.0,50.46460686830478,-4.741202544829339,35.77323405022356,64.85483744606836,-1.8975348042611064,37.89069165896422,56.37553239948739,-3.4283917310001004,38.582264836988486,69.81495051186684,92,0.010104338275672708,24,0.0026359143327841844,6,0.0006589785831960461,3,11956,7,527,196,0.01639344262295082,79,0.0066075610572097696,48,0.004014720642355303,17,needs_tuning_or_visual_review
8,True,29,-403711.8634635372,-436224.98265097954,99.0,49.837841934984624,-8.288713146175859,30.727563494362673,57.65719982714432,-5.482532596718429,33.168735926695206,57.955531828500796,-9.70253656901409,30.888036379635587,74.81588206298021,92,0.010104338275672708,28,0.0030752333882482154,9,0.0009884678747940692,4,11956,7,527,167,0.013967882234861157,81,0.006774841083974573,48,0.004014720642355303,16,needs_tuning_or_visual_review
10,True,74,-487449.1940720733,-528092.6420303609,99.0,47.09013545516157,-10.040134401342904,29.234597057207882,52.51203564747593,-7.968437627824029,33.79615994592123,55.92417953053325,-12.382284606888383,32.85083357615734,65.91170209981196,92,0.010104338275672708,37,0.004063701263042284,13,0.0014277869302581,7,11956,7,527,181,0.015138842422214787,89,0.00744396119103379,50,0.004182000669120107,19,needs_tuning_or_visual_review
1,True,2,890289.2825293625,886232.3140398782,99.5,178.5388467053037,16.52002974731979,46.288299856351614,268.50755138859284,16.90053928480834,53.28282716093404,178.5388467053037,20.096736225444996,56.10137197643736,295.1956298381971,46,0.005052169137836354,15,0.0016474464579901153,6,0.0006589785831960461,3,11956,7,527,118,0.009869521579123453,95,0.007945801271328204,65,0.005436600869856139,21,needs_tuning_or_visual_review
2,True,12,339232.24585035467,331110.11297544785,99.5,87.32214920098335,6.142054136816479,34.15322977375656,125.47561796024618,8.194770369003994,36.779829095261704,87.32214920098335,9.306185005321785,39.30406466887344,142.9866417501326,46,0.005052169137836354,15,0.0016474464579901153,6,0.0006589785831960461,3,11956,7,527,127,0.010622281699565072,94,0.007862161257945801,68,0.005687520910003346,21,needs_tuning_or_visual_review
3,True,26,44638.65425833722,32451.356998007803,99.5,65.52721803771243,0.5500943716270631,34.19030629924326,85.92404404928699,2.6308547107242592,35.60700795941087,65.52721803771243,3.126679405824751,37.37896269512345,96.15639218912793,46,0.005052169137836354,15,0.0016474464579901153,5,0.0005491488193300384,3,11956,7,527,129,0.010789561726329876,78,0.006523921043827367,55,0.004600200736032118,17,needs_tuning_or_visual_review
5,True,35,-228786.4535360504,-249104.07956722498,99.5,56.37553239948739,-4.741202544829339,35.77323405022356,64.85483744606836,-1.8975348042611064,37.89069165896422,56.37553239948739,-3.4283917310001004,38.582264836988486,69.81495051186684,46,0.005052169137836354,11,0.0012081274025260845,1,0.00010982976386600769,1,11956,7,527,131,0.01095684175309468,54,0.0045165607226497154,36,0.003011040481766477,12,needs_tuning_or_visual_review
8,True,29,-403711.8634635372,-436224.98265097954,99.5,57.955531828500796,-8.288713146175859,30.727563494362673,57.65719982714432,-5.482532596718429,33.168735926695206,57.955531828500796,-9.70253656901409,30.888036379635587,74.81588206298021,46,0.005052169137836354,12,0.0013179571663920922,1,0.00010982976386600769,1,11956,7,527,119,0.009953161592505855,58,0.004851120776179324,41,0.0034292405486784877,14,needs_tuning_or_visual_review
10,True,74,-487449.1940720733,-528092.6420303609,99.5,55.92417953053325,-10.040134401342904,29.234597057207882,52.51203564747593,-7.968437627824029,33.79615994592123,55.92417953053325,-12.382284606888383,32.85083357615734,65.91170209981196,46,0.005052169137836354,9,0.0009884678747940692,0,0.0,0,11956,7,527,100,0.008364001338240215,54,0.0045165607226497154,34,0.002843760455001673,12,needs_tuning_or_visual_review
1,True,2,890289.2825293625,886232.3140398782,99.7,204.88702143444482,16.52002974731979,46.288299856351614,268.50755138859284,16.90053928480834,53.28282716093404,178.5388467053037,20.096736225444996,56.10137197643736,295.1956298381971,28,0.0030752333882482154,10,0.001098297638660077,4,0.00043931905546403075,2,11956,7,527,94,0.007862161257945801,75,0.006273001003680161,53,0.004432920709267313,16,needs_tuning_or_visual_review
2,True,12,339232.24585035467,331110.11297544785,99.7,99.14170414696508,6.142054136816479,34.15322977375656,125.47561796024618,8.194770369003994,36.779829095261704,87.32214920098335,9.306185005321785,39.30406466887344,142.9866417501326,28,0.0030752333882482154,9,0.0009884678747940692,4,0.00043931905546403075,2,11956,7,527,103,0.00861492137838742,74,0.006189360990297758,53,0.004432920709267313,16,needs_tuning_or_visual_review
3,True,26,44638.65425833722,32451.356998007803,99.7,74.70222867609,0.5500943716270631,34.19030629924326,85.92404404928699,2.6308547107242592,35.60700795941087,65.52721803771243,3.126679405824751,37.37896269512345,96.15639218912793,28,0.0030752333882482154,7,0.0007688083470620538,3,0.00032948929159802305,1,11956,7,527,94,0.007862161257945801,61,0.00510204081632653,41,0.0034292405486784877,14,needs_tuning_or_visual_review
