tubelet_id,video_id,track_id,start_time_sec,end_time_sec,pose_score,pose_score_smooth,pose_hit_raw,pose_hit_smooth,pose_persistent_hit,pose_valid_frame_ratio,pose_mean_keypoint_conf,pose_valid_keypoint_ratio_mean,pose_wrist_speed_p95,pose_ankle_speed_p95,pose_limb_speed_p95,pose_limb_accel_p95,pose_body_angle_change_p95,pose_crouch_change_p95,pose_arm_extension_change_p95,pose_asymmetry_motion_p95
pose__20260316_113834_tp00042.mp4__track1162__t6390_6459__00011428,20260316_113834_tp00042.mp4,1162,447.29568179099226,452.1256351624443,92.19631326593979,16.97000643205758,True,False,False,1.0,0.751976490020752,0.6470588445663452,0.656308114528656,0.0,0.5649945735931396,2.4152605533599854,2.5538487434387207,0.40636828541755676,0.3795311450958252,0.5069605708122253
pose__20260315_104219_tp00035.mp4__track2201__t27054_27123__00005236,20260315_104219_tp00035.mp4,2201,1893.781117763716,1898.6111206145213,90.92412205966146,71.04621123398955,True,True,False,1.0,0.7432198524475098,0.6078431606292725,2.8889124393463135,0.7060422897338867,3.3127100467681885,9.473409652709961,3.9871666431427,0.7036654353141785,0.6191773414611816,1.7352732419967651
pose__20260315_130536_tp00036.mp4__track2523__t14778_14847__00006915,20260315_130536_tp00036.mp4,2523,1034.438531479014,1039.2684312402844,90.0986593417856,93.49820316414305,True,True,True,1.0,0.7426323890686035,0.9142156839370728,3.1565675735473633,4.329465866088867,4.430070877075195,22.591400146484375,3.1236302852630615,0.2142605036497116,0.6630383133888245,3.967761516571045
pose__20260329_163101_tp00076.mp4__track2093__t38142_38211__00040756,20260329_163101_tp00076.mp4,2093,2672.378972980589,2677.2133851544563,88.9607447511134,46.72653618605896,True,False,False,0.1666666716337204,0.8192307353019714,0.12745098769664764,1.6779592037200928,1.5896046161651611,1.728681206703186,0.24113380908966064,0.16700419783592224,0.042608361691236496,1.2814459800720215,0.6409628987312317
pose__20260315_104219_tp00035.mp4__track1417__t18864_18933__00004581,20260315_104219_tp00035.mp4,1417,1320.4807793854786,1325.3107822362842,87.39501530261252,34.616859608715735,True,False,False,1.0,0.7500138878822327,0.529411792755127,0.5714171528816223,0.0,0.7679187655448914,5.615004539489746,2.6898598670959473,0.7924968600273132,0.336185097694397,1.0029407739639282
pose__20260315_130536_tp00036.mp4__track1308__t8676_8745__00006257,20260315_130536_tp00036.mp4,1308,607.3073960692872,612.1372958305574,87.12865308201611,61.02033398861859,True,True,False,1.0,0.7909303903579712,0.49754902720451355,1.8874503374099731,0.0,1.6851255893707275,6.766491889953613,0.2248373031616211,0.7301071882247925,0.6664076447486877,0.6940861344337463
pose__20260315_130536_tp00036.mp4__track4004__t24930_24999__00007732,20260315_130536_tp00036.mp4,4004,1745.063783311126,1749.8936830723962,86.76794401615835,80.42609031422943,True,True,False,1.0,0.729457437992096,0.5857843160629272,4.531955242156982,0.0,4.647231101989746,22.908008575439453,0.5469171404838562,0.2620964050292969,0.7046322822570801,0.2918626070022583
pose__20260317_101644_tp00048.mp4__track1146__t39618_39687__00020386,20260317_101644_tp00048.mp4,1146,2773.2481206261878,2778.0780999366825,83.70227247471317,58.45038250499984,True,True,False,1.0,0.7503958344459534,0.5759803652763367,0.9853957891464233,0.0,0.9245297312736511,2.9516406059265137,1.0504246950149536,0.2711769640445709,0.6271753907203674,0.5447784066200256
pose__20260316_113834_tp00042.mp4__track1753__t9576_9645__00011752,20260316_113834_tp00042.mp4,1753,670.3135287684729,675.1434821399249,82.8645243157138,37.26066400353008,True,False,False,0.875,0.7638099789619446,0.3284313678741455,1.7566206455230713,0.0,3.296346664428711,8.75515079498291,0.0,0.0,1.8170148134231567,0.04127189889550209
pose__20260317_101644_tp00048.mp4__track1146__t39636_39705__00020387,20260317_101644_tp00048.mp4,1146,2774.508115228925,2779.3380945394206,82.11889630319884,54.23176717609367,True,False,False,1.0,0.7621250152587891,0.6029411554336548,0.849943995475769,1.1378315687179565,0.8590373992919922,3.0295214653015137,0.4490072727203369,0.2718310058116913,0.6270631551742554,0.5270682573318481
